id,product,age,rate
1,UVL01,0,1
2,UVL01,1,1
3,UVL01,2,1
4,UVL01,3,1
5,UVL02,0,0.2
6,UVL02,1,0.4
7,UVL02,2,0.6
8,UVL02,3,0.8
9,UVL03,0,0.2
10,UVL03,1,0.4
11,UVL03,2,0.6
12,UVL03,3,0.8
14,ILP01,0,0.2
15,ILP01,1,0.4
16,ILP01,2,0.6
17,ILP01,3,0.8
