id,product,cal_year,amount
215,UVL03,2038,66000
216,UVL03,2039,66000
217,UVL03,2040,66000
218,UVL03,2041,66000
219,UVL03,2042,66000
220,UVL03,2043,66000
221,UVL03,2044,66000
222,UVL03,2045,66000
223,UVL03,2046,66000
224,UVL03,2047,66000
225,UVL03,2048,66000
226,UVL03,2049,66000
227,UVL03,2050,66000
228,UVL03,2051,66000
229,UVL03,2052,66000
230,UVL03,2053,66000
231,UVL03,2054,66000
232,UVL03,2055,66000
233,UVL03,2056,66000
234,UVL03,2057,66000
235,UVL03,2058,66000
236,UVL03,2059,66000
237,UVL03,2060,66000
238,UVL03,2061,66000
239,UVL03,2062,66000
240,UVL03,2063,66000
241,UVL03,2064,66000
242,UVL03,2065,66000
243,UVL03,2066,66000
244,UVL03,2067,66000
245,UVL03,2068,66000
246,UVL03,2069,66000
247,UVL03,2070,66000
248,UVL03,2071,66000
249,UVL03,2072,66000
250,UVL03,2073,66000
251,UVL03,2074,66000
252,UVL03,2075,66000
253,UVL03,2076,66000
254,UVL03,2077,66000
255,UVL03,2078,66000
256,UVL03,2079,66000
257,UVL03,2080,66000
258,UVL03,2081,66000
259,UVL03,2082,66000
260,UVL03,2083,66000
261,UVL03,2084,66000
262,UVL03,2085,66000
263,UVL03,2086,66000
264,UVL03,2087,66000
265,UVL03,2088,66000
266,UVL03,2089,66000
267,UVL03,2090,66000
268,UVL03,2091,66000
269,UVL03,2092,66000
270,UVL03,2093,66000
271,UVL03,2094,66000
272,UVL03,2095,66000
273,UVL03,2096,66000
274,UVL03,2097,66000
275,UVL03,2098,66000
276,UVL03,2099,66000
277,UVL03,2100,66000
278,UVL03,2101,66000
279,UVL03,2102,66000
280,UVL03,2103,66000
281,UVL03,2104,66000
282,UVL03,2105,66000
283,UVL03,2106,66000
284,UVL03,2107,66000
285,UVL03,2108,66000
286,UVL03,2109,66000
287,UVL03,2110,66000
288,UVL03,2111,66000
289,UVL03,2112,66000
290,UVL03,2113,66000
291,UVL03,2114,66000
292,UVL03,2115,66000
293,UVL03,2116,66000
294,UVL03,2117,66000
295,UVL03,2118,66000
296,UVL03,2119,66000
297,UVL03,2120,66000
298,UVL03,2121,66000
299,UVL03,2122,66000
300,UVL03,2123,66000
301,ILP01,2024,40000
302,ILP01,2025,42000
303,ILP01,2026,44000
304,ILP01,2027,46000
305,ILP01,2028,48000
306,ILP01,2029,50000
307,ILP01,2030,52000
308,ILP01,2031,54000
309,ILP01,2032,56000
310,ILP01,2033,58000
311,ILP01,2034,60000
312,ILP01,2035,62000
313,ILP01,2036,64000
314,ILP01,2037,66000
315,ILP01,2038,66000
316,ILP01,2039,66000
317,ILP01,2040,66000
318,ILP01,2041,66000
319,ILP01,2042,66000
320,ILP01,2043,66000
321,ILP01,2044,66000
322,ILP01,2045,66000
323,ILP01,2046,66000
324,ILP01,2047,66000
325,ILP01,2048,66000
326,ILP01,2049,66000
327,ILP01,2050,66000
328,ILP01,2051,66000
329,ILP01,2052,66000
330,ILP01,2053,66000
331,ILP01,2054,66000
332,ILP01,2055,66000
333,ILP01,2056,66000
334,ILP01,2057,66000
335,ILP01,2058,66000
336,ILP01,2059,66000
337,ILP01,2060,66000
338,ILP01,2061,66000
339,ILP01,2062,66000
340,ILP01,2063,66000
341,ILP01,2064,66000
342,ILP01,2065,66000
343,ILP01,2066,66000
344,ILP01,2067,66000
345,ILP01,2068,66000
346,ILP01,2069,66000
347,ILP01,2070,66000
348,ILP01,2071,66000
349,ILP01,2072,66000
350,ILP01,2073,66000
351,ILP01,2074,66000
352,ILP01,2075,66000
353,ILP01,2076,66000
354,ILP01,2077,66000
355,ILP01,2078,66000
356,ILP01,2079,66000
357,ILP01,2080,66000
358,ILP01,2081,66000
359,ILP01,2082,66000
360,ILP01,2083,66000
361,ILP01,2084,66000
362,ILP01,2085,66000
363,ILP01,2086,66000
364,ILP01,2087,66000
365,ILP01,2088,66000
366,ILP01,2089,66000
367,ILP01,2090,66000
368,ILP01,2091,66000
369,ILP01,2092,66000
370,ILP01,2093,66000
371,ILP01,2094,66000
372,ILP01,2095,66000
373,ILP01,2096,66000
374,ILP01,2097,66000
375,ILP01,2098,66000
376,ILP01,2099,66000
377,ILP01,2100,66000
378,ILP01,2101,66000
379,ILP01,2102,66000
380,ILP01,2103,66000
381,ILP01,2104,66000
382,ILP01,2105,66000
383,ILP01,2106,66000
384,ILP01,2107,66000
385,ILP01,2108,66000
386,ILP01,2109,66000
387,ILP01,2110,66000
388,ILP01,2111,66000
389,ILP01,2112,66000
390,ILP01,2113,66000
391,ILP01,2114,66000
392,ILP01,2115,66000
393,ILP01,2116,66000
394,ILP01,2117,66000
395,ILP01,2118,66000
396,ILP01,2119,66000
397,ILP01,2120,66000
398,ILP01,2121,66000
399,ILP01,2122,66000
400,ILP01,2123,66000
